Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,X,Y,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
16-00052733,2923 S ARCHER AVE,2923,S,ARCHER AVE,2923 S ARCHER AVE,1/4/2016 0:00,1/7/2016 0:00,Completed,Nissan,S810743,2780420,1168115.549,1885501.092,Carryall,1/1/2016,1/1/2016,-87.65856657,41.84135202,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00052734,2919 S ARCHER AVE,2919,S,ARCHER AVE,2919 S ARCHER AVE,1/4/2016 0:00,1/7/2016 0:00,Completed,Mazda,S870743,2780421,1168157.649,1885528.692,Sedan 4 Door,1/1/2016,1/1/2016,-87.65841128,41.84142685,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070551,501 W MADISON ST,501,W,MADISON ST,501 W MADISON ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Ford,DFWZ34,2780482,1173130.816,1900311.554,Station Wagon,1/2/2016,1/2/2016,-87.63972328,41.88188342,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070553,600 S STATE ST,600,S,STATE ST,600 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Honda,S156871,2780483,1176451.122,1897667.028,Sedan 4 Door,1/2/2016,1/2/2016,-87.62761115,41.8745524,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070557,710 S STATE ST,710,S,STATE ST,710 S STATE ST,1/5/2016 0:00,1/27/2016 0:00,Completed,Toyota,150TSN,2780484,1176470.765,1897042.137,Sedan 4 Door,1/2/2016,1/2/2016,-87.6275579,41.87283722,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070478,602 S STATE ST,602,S,STATE ST,602 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Nissan,R238662,2780485,1176451.522,1897650.528,Sedan 4 Door,1/2/2016,1/2/2016,-87.62761018,41.87450711,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070404,4625 S ARCHER AVE,4625,S,ARCHER AVE,4625 S ARCHER AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Kia Motors Corp,P251294,2780486,1153688.359,1873763.353,Carryall,1/2/2016,1/2/2016,-87.71182127,41.80944097,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00113333,4021 S ARCHER AVE,4021,S,ARCHER AVE,4021 S ARCHER AVE,1/7/2016 0:00,1/22/2016 0:00,Completed,Oldsmobile,Y149061,2780488,1158653.79,1877896.46,Sedan 4 Door,1/2/2016,1/2/2016,-87.69349592,41.82068275,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00113334,2616 S KEDZIE AVE,2616,S,KEDZIE AVE,2616 S KEDZIE AVE,1/7/2016 0:00,1/22/2016 0:00,Completed,Chevrolet,8777033,2780489,1155446.788,1886451.328,Sedan 4 Door,1/2/2016,1/2/2016,-87.70503125,41.84422329,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070406,816 S STATE ST,816,S,STATE ST,816 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Jeep - Year Greater 1988,6AB6401,2780490,1176484.612,1896591.693,Carryall,1/2/2016,1/2/2016,-87.62752066,41.87160086,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070411,2646 S KEDZIE AVE,2646,S,KEDZIE AVE,2646 S KEDZIE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Honda,N200559,2780494,1155452.788,1886250.228,Carryall,1/2/2016,1/2/2016,-87.70501463,41.84367133,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070412,2407 S KEDZIE AVE,2407,S,KEDZIE AVE,2407 S KEDZIE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Toyota,1387711,2780495,1155405.872,1887831.913,Sedan 4 Door,1/2/2016,1/2/2016,-87.70514435,41.8480126,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070413,2409 S KEDZIE AVE,2409,S,KEDZIE AVE,2409 S KEDZIE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Dodge,L906032,2780496,1155406.272,1887818.613,Sedan 4 Door,1/2/2016,1/2/2016,-87.70514324,41.8479761,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070414,5341 S KEDZIE AVE,5341,S,KEDZIE AVE,5341 S KEDZIE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Chevrolet,R483823,2780497,1155956.795,1868920.98,Sedan 4 Door,1/2/2016,1/2/2016,-87.70363109,41.79610751,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070417,1502 S STATE ST,1502,S,STATE ST,1502 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Ford,5299253,2780498,1176576.67,1893053.863,Carryall,1/2/2016,1/2/2016,-87.62728951,41.86189075,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070418,1000 E MIDWAY PLAISANCE,1000,E,MIDWAY PLAISANCE,1000 E MIDWAY PLAISANCE,1/5/2016 0:00,1/7/2016 0:00,Completed,Suzuki,P410520,2780499,1183910.004,1865889.121,Carryall,1/2/2016,1/2/2016,-87.60122015,41.78718021,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070420,7317 S COTTAGE GROVE AVE,7317,S,COTTAGE GROVE AVE,7317 S COTTAGE GROVE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Chrysler,960Z0M,2780501,1182825.668,1856673.327,Sedan 4 Door,1/2/2016,1/2/2016,-87.60548186,41.76191647,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070422,300 E CERMAK RD,300,E,CERMAK RD,300 E CERMAK RD,1/5/2016 0:00,1/7/2016 0:00,Completed,Bmw,E910320,2780502,1178408.5,1889796.119,Sedan 2 Door,1/2/2016,1/2/2016,-87.6206645,41.85290976,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070423,8806 S COTTAGE GROVE AVE,8806,S,COTTAGE GROVE AVE,8806 S COTTAGE GROVE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Toyota,K148955,2780503,1183102.878,1846738.919,Sedan 4 Door,1/2/2016,1/2/2016,-87.60477417,41.73464896,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070424,519 E 79TH ST,519,E,79TH ST,519 E 79TH ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Chevrolet,Z577017,2780504,1181145.519,1852743.552,Sedan 4 Door,1/2/2016,1/2/2016,-87.61176055,41.7511716,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070426,937 E 79TH ST,937,E,79TH ST,937 E 79TH ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Ford,N644091,2780505,1183956.598,1852824.063,Sedan 4 Door,1/2/2016,1/2/2016,-87.60145694,41.75132737,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070431,6161 S KEDZIE AVE,6161,S,KEDZIE AVE,6161 S KEDZIE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Pontiac,N191118,2780506,1156113.18,1863526.44,Sedan 2 Door,1/2/2016,1/2/2016,-87.70320259,41.78130098,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00070433,542 E 79TH ST,542,E,79TH ST,542 E 79TH ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Dodge,S879580,2780507,1181322.519,1852749.052,Van,1/2/2016,1/2/2016,-87.61111177,41.75118261,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074491,1924 S ARCHER AVE,1924,S,ARCHER AVE,1924 S ARCHER AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Volkswagen,1004BU,2780546,1176372.77,1890944.045,Sedan 2 Door,1/3/2016,1/3/2016,-87.6281016,41.85610587,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074492,1914 S ARCHER AVE,1914,S,ARCHER AVE,1914 S ARCHER AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Toyota,3051490,2780547,1176477.816,1891012.45,Sedan 4 Door,1/3/2016,1/3/2016,-87.62771397,41.85629121,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074495,658 S STATE ST,658,S,STATE ST,658 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Honda,L491737,2780548,1176460.965,1897347.237,Carryall,1/3/2016,1/3/2016,-87.62758467,41.87367465,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074497,1255 S STATE ST,1255,S,STATE ST,1255 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Honda,P188231,2780549,1176533.004,1894727.857,Sedan 4 Door,1/3/2016,1/3/2016,-87.62739927,41.86648528,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074500,1302 S STATE ST,1302,S,STATE ST,1302 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Honda,405BFM,2780551,1176539.704,1894444.957,Sedan 4 Door,1/3/2016,1/3/2016,-87.62738321,41.86570884,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074502,1458 S STATE ST,1458,S,STATE ST,1458 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Mercury,VY2248,2780553,1176571.021,1893235.618,Sedan 4 Door,1/3/2016,1/3/2016,-87.62730476,41.86238963,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074503,2150 S ARCHER AVE,2150,S,ARCHER AVE,2150 S ARCHER AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Toyota,S628528,2780554,1175365.662,1890282.892,Carryall,1/3/2016,1/3/2016,-87.63181798,41.85431426,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074504,1957 S ARCHER AVE,1957,S,ARCHER AVE,1957 S ARCHER AVE,1/5/2016 0:00,1/22/2016 0:00,Completed,Acura,E282716,2780555,1176014.63,1890710.422,Sedan 4 Door,1/3/2016,1/3/2016,-87.62942317,41.85547285,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074505,1421 S STATE ST,1421,S,STATE ST,1421 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Audi,E642584,2780556,1176560.988,1893628.583,Carryall,1/3/2016,1/3/2016,-87.62732972,41.86346817,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074508,1022 S STATE ST,1022,S,STATE ST,1022 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Chevrolet,K564021,2780557,1176502.158,1895909.652,Sedan 4 Door,1/3/2016,1/3/2016,-87.62747683,41.8697289,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074518,2113 S STATE ST,2113,S,STATE ST,2113 S STATE ST,1/5/2016 0:00,1/7/2016 0:00,Completed,Cadillac,238S965T,2780562,1176648.792,1890204.01,Sedan 4 Door,1/3/2016,1/3/2016,-87.62711081,41.85406893,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074447,3829 S ARCHER AVE,3829,S,ARCHER AVE,3829 S ARCHER AVE,1/5/2016 0:00,1/22/2016 0:00,Completed,Chrysler,X101314,2780564,1160132.069,1879125.578,Sedan 4 Door,1/3/2016,1/3/2016,-87.688039,41.82402526,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074448,5976 S ARCHER AVE,5976,S,ARCHER AVE,5976 S ARCHER AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Buick,S392614,2780565,1139077.63,1868483.158,Sedan 4 Door,1/3/2016,1/3/2016,-87.76553975,41.79522868,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074449,5202 S KINGSTON,5202,S,DOCTOR MARTIN LUTHER KING JR DR,5202 S DOCTOR MARTIN LUTHER KING JR DR,1/5/2016 0:00,1/7/2016 0:00,Completed,Volkswagen,V988017,2780566,,,Carryall,1/3/2016,1/3/2016,-87.616105,41.800124,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074453,8020 S COTTAGE GROVE AVE,8020,S,COTTAGE GROVE AVE,8020 S COTTAGE GROVE AVE,1/5/2016 0:00,1/22/2016 0:00,Completed,Volkswagen,Y720951,2780567,1182948.061,1851999.15,Sedan 2 Door,1/3/2016,1/3/2016,-87.60517828,41.74908721,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074455,8348 S KINGSTON AVE,8348,S,DOCTOR MARTIN LUTHER KING JR DR,8348 S DOCTOR MARTIN LUTHER KING JR DR,1/5/2016 0:00,1/7/2016 0:00,Completed,Hyundai,Y759494,2780568,1194622.06,1850111.507,Sedan 4 Door,1/3/2016,1/3/2016,-87.56246298,41.74362829,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074457,8938 S COTTAGE GROVE AVE,8938,S,COTTAGE GROVE AVE,8938 S COTTAGE GROVE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Kia Motors Corp,G0DMTY1,2780569,1183128.545,1845776.493,Carryall,1/3/2016,1/3/2016,-87.60470999,41.73200735,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074458,2650 S KEDZIE AVE,2650,S,KEDZIE AVE,2650 S KEDZIE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Toyota,Y817337,2780570,1155443.488,1886558.528,Carryall,1/3/2016,1/3/2016,-87.70504049,41.84451753,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074461,2646 S KEDZIE AVE,2646,S,KEDZIE AVE,2646 S KEDZIE AVE,1/5/2016 0:00,1/7/2016 0:00,Completed,Chevrolet,Y753282,2780571,1155452.788,1886250.228,Sedan 4 Door,1/3/2016,1/3/2016,-87.70501463,41.84367133,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074683,601 W MADISON ST,601,W,MADISON ST,601 W MADISON ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Ford,DHV9486,2780616,1172320.75,1900288.195,Sedan 2 Door,1/4/2016,1/4/2016,-87.64269849,41.88183725,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074684,891 S STATE ST,891,S,STATE ST,891 S STATE ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Chevrolet,10434N-B,2780617,1176494.126,1896240.232,Pickup,1/4/2016,1/4/2016,-87.62749634,41.87063621,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074656,2881 S ARCHER AVE,2881,S,ARCHER AVE,2881 S ARCHER AVE,1/5/2016 0:00,1/22/2016 0:00,Completed,Toyota,K633000,2780620,1168549.748,1885786.703,Carryall,1/4/2016,1/4/2016,-87.65696496,41.84212639,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074631,1920 S ARCHER AVE,1920,S,ARCHER AVE,1920 S ARCHER AVE,1/5/2016 0:00,1/22/2016 0:00,Completed,Honda,S414185,2780621,1176624.916,1891108.25,Van,1/4/2016,1/4/2016,-87.62717115,41.85655077,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074632,10075 S COTTAGE GROVE AVE,10075,S,COTTAGE GROVE AVE,10075 S COTTAGE GROVE AVE,1/5/2016 0:00,1/22/2016 0:00,Completed,Merkur,3425111,2780622,1182940.569,1838250.051,Sedan 4 Door,1/4/2016,1/4/2016,-87.60563168,41.71135826,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074639,211 E 79TH ST,211,E,79TH ST,211 E 79TH ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Pontiac,X880735,2780626,1179009.714,1852676.828,Sedan 4 Door,1/4/2016,1/4/2016,-87.61958918,41.75103738,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00074640,935 E 79TH ST,935,E,79TH ST,935 E 79TH ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Dodge,23321DS,2780627,1183946.798,1852823.863,Carryall,1/4/2016,1/4/2016,-87.60149286,41.75132705,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091564,519 W MADISON ST,519,W,MADISON ST,519 W MADISON ST,1/6/2016 0:00,1/22/2016 0:00,Completed,Hyundai,S918094,2780676,1172941.216,1900306.054,Sedan 4 Door,1/5/2016,1/5/2016,-87.64041965,41.88187253,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091566,515 W MADISON ST,515,W,MADISON ST,515 W MADISON ST,1/6/2016 0:00,1/22/2016 0:00,Completed,Hyundai,7DZU113,2780677,1172983.316,1900307.254,Sedan 4 Door,1/5/2016,1/5/2016,-87.64026502,41.88187489,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091567,517 W MADISON ST,517,W,MADISON ST,517 W MADISON ST,1/6/2016 0:00,1/22/2016 0:00,Completed,Toyota,L65CNN,2780678,1172962.316,1900306.654,Sedan 4 Door,1/5/2016,1/5/2016,-87.64034215,41.88187371,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091568,5316 E KING DR,5316,E,DOCTOR MARTIN LUTHER KING JR DR,5316 E DOCTOR MARTIN LUTHER KING JR DR,1/6/2016 0:00,1/27/2016 0:00,Completed,Cadillac,Z270664,2780679,,,Sedan 4 Door,1/5/2016,1/5/2016,-87.616049,41.797922,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091569,1110 E MIDWAY PLAISANCE,1110,E,MIDWAY PLAISANCE,1110 E MIDWAY PLAISANCE,1/6/2016 0:00,1/22/2016 0:00,Completed,Toyota,8777816,2780680,1184435.879,1865901.283,Sedan 4 Door,1/5/2016,1/5/2016,-87.59929165,41.78720128,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091570,1030 E MIDWAY PLAISANCE,1030,E,MIDWAY PLAISANCE,1030 E MIDWAY PLAISANCE,1/6/2016 0:00,1/22/2016 0:00,Completed,Hyundai,Z758832,2780681,1184043.204,1865892.221,Sedan 4 Door,1/5/2016,1/5/2016,-87.60073168,41.78718561,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091571,1040 E MIDWAY PLAISANCE,1040,E,MIDWAY PLAISANCE,1040 E MIDWAY PLAISANCE,1/6/2016 0:00,1/22/2016 0:00,Completed,Ford,G207193,2780682,1184087.504,1865893.221,Sedan 4 Door,1/5/2016,1/5/2016,-87.60056922,41.78718732,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00091572,904 E MIDWAY PLAISANCE,904,E,MIDWAY PLAISANCE,904 E MIDWAY PLAISANCE,1/6/2016 0:00,1/22/2016 0:00,Completed,Toyota,Z609380,2780683,1183281.395,1865875.078,Sedan 4 Door,1/5/2016,1/5/2016,-87.60352539,41.78715634,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110095,2309 S ARCHER AVE,2309,S,ARCHER AVE,2309 S ARCHER AVE,1/7/2016 0:00,1/22/2016 0:00,Completed,Ford,Y846521,2780768,1173419.218,1888987.972,Pickup,1/6/2016,1/6/2016,-87.63900059,41.85080431,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110096,3011 S ARCHER AVE,3011,S,ARCHER AVE,3011 S ARCHER AVE,1/7/2016 0:00,1/22/2016 0:00,Completed,Chrysler,R402206,2780769,1167298.48,1884964.69,Sedan 4 Door,1/6/2016,1/6/2016,-87.66158032,41.83989766,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110099,1031 E MIDWAY PLAISANCE,1031,E,MIDWAY PLAISANCE,1031 E MIDWAY PLAISANCE,1/7/2016 0:00,1/22/2016 0:00,Completed,Toyota,176DP,2780771,1184047.604,1865892.321,Van,1/6/2016,1/6/2016,-87.60071554,41.78718578,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110105,613 S STATE ST,613,S,STATE ST,613 S STATE ST,1/7/2016 0:00,1/22/2016 0:00,Completed,Chevrolet,CONFREQ1,2780774,1176453.503,1897580.228,Sedan 4 Door,1/6/2016,1/6/2016,-87.62760503,41.87431416,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110129,6129 S COTTAGE GROVE AVE,6129,S,COTTAGE GROVE AVE,6129 S COTTAGE GROVE AVE,1/7/2016 0:00,1/22/2016 0:00,Completed,Pontiac,846RMZ,2780775,1182618.414,1864545.381,Sedan 4 Door,1/6/2016,1/6/2016,-87.60599746,41.78352295,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110130,7714 S COTTAGE GROVE AVE,7714,S,COTTAGE GROVE AVE,7714 S COTTAGE GROVE AVE,1/7/2016 0:00,1/22/2016 0:00,Completed,Bmw,Y827903,2780776,1182900.237,1854034.859,Sedan 4 Door,1/6/2016,1/6/2016,-87.6052904,41.75467452,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110132,224 E 79TH ST,224,E,79TH ST,224 E 79TH ST,1/7/2016 0:00,1/22/2016 0:00,Completed,General Motors Corp.,AG86326,2780777,1179067.514,1852678.628,Van,1/6/2016,1/6/2016,-87.61937732,41.75104101,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00110133,5420 S KEDZIE AVE,5420,S,KEDZIE AVE,5420 S KEDZIE AVE,1/7/2016 0:00,1/22/2016 0:00,Completed,Chevrolet,56519X,2780778,1155969.915,1868439.88,Van,1/6/2016,1/6/2016,-87.7035959,41.79478705,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00130741,603 S STATE ST,603,S,STATE ST,603 S STATE ST,1/8/2016 0:00,1/22/2016 0:00,Completed,Chrysler,E322267,2780895,1176451.722,1897642.228,Sedan 4 Door,1/7/2016,1/7/2016,-87.6276097,41.87448433,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
16-00130742,547 W MADISON ST,547,W,MADISON ST,547 W MADISON ST,1/8/2016 0:00,1/22/2016 0:00,Completed,General Motors Corp.,E47JLLFX,2780896,1172683.211,1900298.542,Carryall,1/7/2016,1/7/2016,-87.64136725,41.88185763,,,,,,,,,,,,,,,,,,,TOW - NO TICKET
