record,Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
12,16-00074522,60 E CERMAK RD,60,E,CERMAK RD,60 E CERMAK RD,1/5/2016 0:00,1/7/2016 0:00,Completed,Lexus,Z469884,2780563,1177242.205,1889766.674,Sedan 4 Door,1/3/2016,1/3/2016,-87.62494602,41.85285544,1/3/2016 3:37,60,E,CERMAK,CERMAK,60 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,LEXU,60,Paid,2016,TRUE,1/3/2016 3:37,TICKET AND TOW
13,16-00074685,825 S STATE ST,825,S,STATE ST,825 S STATE ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Ford,803PDT,2780618,1176485.812,1896549.493,Carryall,1/4/2016,1/4/2016,-87.62751753,41.87148503,1/4/2016 3:01,825,S,STATE ST,STATE ST,825 S STATE ST,MN,964060,3-7 AM SNOW ROUTE,1,FORD,60,Define,2016,TRUE,1/4/2016 3:01,TICKET AND TOW
14,16-00074686,1427 S STATE ST,1427,S,STATE ST,1427 S STATE ST,1/5/2016 0:00,1/22/2016 0:00,Completed,Volkswagen,R757426,2780619,1176562.488,1893567.783,Sedan 4 Door,1/4/2016,1/4/2016,-87.62732605,41.8633013,1/4/2016 3:05,1427,S,STATE ST,STATE ST,1427 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,VOLK,120,Paid,2016,TRUE,1/4/2016 3:05,TICKET AND TOW
15,16-00074633,69 E CERMAK RD,69,E,CERMAK RD,69 E CERMAK RD,1/5/2016 0:00,1/22/2016 0:00,Completed,Toyota,A911388,2780623,1177313.605,1889768.074,Sedan 2 Door,1/4/2016,1/4/2016,-87.62468392,41.85285767,1/4/2016 3:18,69,E,22ND ST,22ND ST,69 E 22ND ST,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,FALSE,1/4/2016 3:18,TICKET AND TOW
16,16-00110097,605 W MADISON ST,605,W,MADISON ST,605 W MADISON ST,1/7/2016 0:00,1/22/2016 0:00,Completed,Volvo,S278174,2780770,1172279.75,1900287.195,Carryall,1/6/2016,1/6/2016,-87.64284907,41.88183541,1/6/2016 3:01,609,W,MADISON,MADISON ST,609 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,VOLV,60,Paid,2016,TRUE,1/6/2016 3:01,TICKET AND TOW
17,16-00110100,10500 S MARTIN ST,10500,S,MARTIN ST,10500 S MARTIN ST,1/7/2016 0:00,1/22/2016 0:00,Completed,Toyota,E600743,2780772,1169211.881,1835141.256,Sedan 2 Door,1/6/2016,1/6/2016,-87.65599886,41.70313463,1/6/2016 3:18,3001,S,KING DR,MARTIN LUTHER KING DRIVE,3001 S KING DR,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/6/2016 3:18,TICKET AND TOW
18,16-00110102,619 S STATE ST,619,S,STATE ST,619 S STATE ST,1/7/2016 0:00,1/22/2016 0:00,Completed,Hyundai,E106347,2780773,1176454.503,1897549.128,Sedan 4 Door,1/6/2016,1/6/2016,-87.6276023,41.8742288,1/6/2016 3:00,635,S,STATE,STATE ST,635 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,HYUN,60,Paid,2016,TRUE,1/6/2016 3:00,TICKET AND TOW
19,16-00130743,812 S STATE ST,812,S,STATE ST,812 S STATE ST,1/8/2016 0:00,1/22/2016 0:00,Completed,Toyota,X639380,2780897,1176484.112,1896610.493,Sedan 4 Door,1/7/2016,1/7/2016,-87.62752193,41.87165246,1/7/2016 3:03,810,S,STATE,STATE ST,810 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/7/2016 3:03,TICKET AND TOW
20,16-00130750,1915 S STATE ST,1915,S,STATE ST,1915 S STATE ST,1/8/2016 0:00,1/22/2016 0:00,Completed,Hyundai,S820358,2780900,1176626.416,1891047.25,Sedan 4 Door,1/7/2016,1/7/2016,-87.62716748,41.85638335,1/7/2016 3:10,1917,S,STATE,STATE ST,1917 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,HYUN,60,Paid,2016,TRUE,1/7/2016 3:10,TICKET AND TOW
21,16-00182929,813 S STATE ST,813,S,STATE ST,813 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,Nissan,Y838833,2781006,1176484.212,1896605.793,Sedan 4 Door,1/8/2016,1/8/2016,-87.6275217,41.87163956,1/8/2016 3:05,815,S,STATE STREET,STATE ST,815 S STATE STREET,IL,964060,3-7 AM SNOW ROUTE,1,NISS,60,Paid,2016,TRUE,1/8/2016 3:05,TICKET AND TOW
22,16-00182931,854 S STATE ST,854,S,STATE ST,854 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,Honda,E539384,2781007,1176489.426,1896413.632,Sedan 4 Door,1/8/2016,1/8/2016,-87.62750836,41.87111214,1/8/2016 3:09,848,S,STATE STREET,STATE ST,848 S STATE STREET,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,1/8/2016 3:09,TICKET AND TOW
23,16-00182949,8300 S COTTAGE GROVE AVE,8300,S,COTTAGE GROVE AVE,8300 S COTTAGE GROVE AVE,1/11/2016 0:00,1/22/2016 0:00,Completed,Toyota,8YN874,2781011,1183003.463,1850134.738,Sedan 4 Door,1/8/2016,1/8/2016,-87.60503309,41.74396977,1/8/2016 3:06,8314,S,COTTAGE GROVE,COTTAGE GROVE AVE,8314 S COTTAGE GROVE,WV,964060,3-7 AM SNOW ROUTE,6,TOYT,120,Notice,2016,TRUE,1/8/2016 3:06,TICKET AND TOW
24,16-00182953,8740 S COTTAGE GROVE AVE,8740,S,COTTAGE GROVE AVE,8740 S COTTAGE GROVE AVE,1/11/2016 0:00,1/22/2016 0:00,Completed,Chrysler,E152424,2781014,1183093.606,1847095.845,Sedan 2 Door,1/8/2016,1/8/2016,-87.60479707,41.73562862,1/8/2016 3:10,8746,S,COTTAGE GROVE,COTTAGE GROVE AVE,8746 S COTTAGE GROVE,IL,964060,3-7 AM SNOW ROUTE,6,CHRY,120,Notice,2016,TRUE,1/8/2016 3:10,TICKET AND TOW
25,16-00182958,1043 W 103RD,1043,W,103RD,1043 W 103RD,1/11/2016 0:00,1/22/2016 0:00,Completed,Oldsmobile,Z472366,2781019,,,Van,1/8/2016,1/8/2016,-87.649365,41.706592,1/8/2016 3:05,4041,W,103TH ST,103TH ST,4041 W 103TH ST,IL,964060,3-7 AM SNOW ROUTE,22,OLDS,60,Paid,2016,FALSE,1/8/2016 3:05,TICKET AND TOW
26,16-00187024,657 S STATE ST,657,S,STATE ST,657 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,Chevrolet,E206759,2781139,1176460.765,1897352.437,Sedan 4 Door,1/9/2016,1/9/2016,-87.62758524,41.87368893,1/9/2016 3:03,627,S,STATE,STATE ST,627 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,CHEV,120,Notice,2016,TRUE,1/9/2016 3:03,TICKET AND TOW
27,16-00187026,627 S STATE ST,627,S,STATE ST,627 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,Chevrolet,V314204,2781141,1176455.803,1897507.728,Carryall,1/9/2016,1/9/2016,-87.62759877,41.87411516,1/9/2016 3:02,619,S,STATE,STATE ST,619 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,CHEV,120,Notice,2016,TRUE,1/9/2016 3:02,TICKET AND TOW
28,16-00187029,652 S STATE ST,652,S,STATE ST,652 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,Honda,8247799,2781143,1176459.903,1897378.328,Sedan 4 Door,1/9/2016,1/9/2016,-87.62758763,41.87375999,1/9/2016 3:04,622,S,STATE,STATE ST,622 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,1/9/2016 3:04,TICKET AND TOW
29,16-00186962,1420 S STATE ST,1420,S,STATE ST,1420 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,Ford,E902821,2781147,1176560.688,1893638.683,Sedan 4 Door,1/9/2016,1/9/2016,-87.62733052,41.8634959,1/9/2016 3:17,1420,S,STATE ST,STATE ST,1420 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,FORD,120,Notice,2016,TRUE,1/9/2016 3:17,TICKET AND TOW
30,16-00186966,1443 S STATE ST,1443,S,STATE ST,1443 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,Ford,V445660,2781150,1176566.621,1893405.518,Sedan 4 Door,1/9/2016,1/9/2016,-87.62731578,41.86285594,1/9/2016 3:06,1439,S,STATE,STATE ST,1439 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,FORD,120,Paid,2016,TRUE,1/9/2016 3:06,TICKET AND TOW
31,16-00186968,1921 S STATE ST,1921,S,STATE ST,1921 S STATE ST,1/11/2016 0:00,1/22/2016 0:00,Completed,(Unlisted Make),893AWJ,2781151,1176627.016,1891022.95,Sedan 4 Door,1/9/2016,1/9/2016,-87.62716601,41.85631665,1/9/2016 3:30,1919,S,STATE,STATE ST,1919 S STATE,IN,964060,3-7 AM SNOW ROUTE,1,MINI,60,Paid,2016,TRUE,1/9/2016 3:30,TICKET AND TOW
32,16-00204074,1103 S STATE ST,1103,S,STATE ST,1103 S STATE ST,1/12/2016 0:00,1/22/2016 0:00,Completed,Toyota,X758618,2781282,1176506.754,1895709.761,Sedan 4 Door,1/10/2016,1/10/2016,-87.62746599,41.86918028,1/10/2016 3:12,1107,S,STATE,STATE ST,1107 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,120,Paid,2016,TRUE,1/10/2016 3:12,TICKET AND TOW
33,16-00204075,806 S STATE ST,806,S,STATE ST,806 S STATE ST,1/12/2016 0:00,1/22/2016 0:00,Completed,Toyota,9619182,2781283,1176483.412,1896638.593,Sedan 4 Door,1/10/2016,1/10/2016,-87.62752365,41.87172958,1/10/2016 3:06,812,S,STATE,STATE ST,812 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/10/2016 3:06,TICKET AND TOW
34,16-00204078,1121 S STATE ST,1121,S,STATE ST,1121 S STATE ST,1/12/2016 0:00,1/22/2016 0:00,Completed,Mazda,HT9691,2781284,1176510.154,1895589.061,Sedan 4 Door,1/10/2016,1/10/2016,-87.62745715,41.868849,1/10/2016 3:09,1121,S,STATE,STATE ST,1121 S STATE,IN,964060,3-7 AM SNOW ROUTE,1,MAZD,60,Define,2016,TRUE,1/10/2016 3:09,TICKET AND TOW
35,16-00204084,1407 S STATE ST,1407,S,STATE ST,1407 S STATE ST,1/12/2016 0:00,1/22/2016 0:00,Completed,Hyundai,YD6P5J,2781287,1176557.288,1893770.483,Sedan 4 Door,1/10/2016,1/10/2016,-87.62733902,41.86385764,1/10/2016 3:03,1407,S,STATE,STATE ST,1407 S STATE,MO,964060,3-7 AM SNOW ROUTE,1,HYUN,60,Paid,2016,TRUE,1/10/2016 3:03,TICKET AND TOW
36,16-00204085,1409 S STATE ST,1409,S,STATE ST,1409 S STATE ST,1/12/2016 0:00,1/22/2016 0:00,Completed,Hyundai,S763736,2781288,1176557.788,1893750.283,Sedan 4 Door,1/10/2016,1/10/2016,-87.6273378,41.8638022,1/10/2016 3:04,4411,S,STATE,STATE ST,4411 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,HYUN,60,Paid,2016,TRUE,1/10/2016 3:04,TICKET AND TOW
37,16-00204086,1913 S STATE ST,1913,S,STATE ST,1913 S STATE ST,1/12/2016 0:00,1/28/2016 0:00,Completed,Dodge,CGP6084,2781289,1176626.216,1891055.45,Carryall,1/10/2016,1/10/2016,-87.62716797,41.85640585,1/10/2016 3:20,1913,S,STATE,STATE ST,1913 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,DODG,60,Define,2016,TRUE,1/10/2016 3:20,TICKET AND TOW
38,16-00204088,2532 S KINGSTON,2532,S,DOCTOR MARTIN LUTHER KING JR DR,2532 S DOCTOR MARTIN LUTHER KING JR DR,1/12/2016 0:00,1/22/2016 0:00,Completed,Mercedes,V514065,2781291,,,Sedan 4 Door,1/10/2016,1/10/2016,-87.617332,41.846857,1/10/2016 3:27,2532,S,KING DRIVE,MARTIN LUTHER KING DRIVE,2532 S KING DRIVE,IL,964060,3-7 AM SNOW ROUTE,1,MERC,120,Paid,2016,TRUE,1/10/2016 3:27,TICKET AND TOW
39,16-00204089,2520 S KINGSTON,2520,S,DOCTOR MARTIN LUTHER KING JR DR,2520 S DOCTOR MARTIN LUTHER KING JR DR,1/12/2016 0:00,1/22/2016 0:00,Completed,Buick,V521275,2781292,,,Sedan 4 Door,1/10/2016,1/10/2016,-87.6179988,41.8469646,1/10/2016 3:17,2520,S,KING DRIVE,MARTIN LUTHER KING DRIVE,2520 S KING DRIVE,IL,964060,3-7 AM SNOW ROUTE,1,BUIC,120,Notice,2016,TRUE,1/10/2016 3:17,TICKET AND TOW
40,16-00205624,2114 S STATE ST,2114,S,STATE ST,2114 S STATE ST,1/12/2016 0:00,1/22/2016 0:00,Completed,Chevrolet,S645453,2781340,1176648.892,1890198.91,Sedan 4 Door,1/11/2016,1/11/2016,-87.6271106,41.85405494,1/11/2016 3:05,2714,S,STATE,STATE ST,2714 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,CHEV,60,Paid,2016,TRUE,1/11/2016 3:05,TICKET AND TOW
41,16-00245602,810 S STATE ST,810,S,STATE ST,810 S STATE ST,1/14/2016 0:00,1/22/2016 0:00,Completed,Chrysler,916MAT,2781436,1176483.912,1896619.793,Sedan 4 Door,1/13/2016,1/13/2016,-87.62752238,41.87167798,1/13/2016 3:06,810,S,STATE ST,STATE ST,810 S STATE ST,WI,964060,3-7 AM SNOW ROUTE,1,CHRY,120,Notice,2016,TRUE,1/13/2016 3:06,TICKET AND TOW
42,16-00245613,853 S STATE ST,853,S,STATE ST,853 S STATE ST,1/14/2016 0:00,1/22/2016 0:00,Completed,Jeep - Year Greater 1988,E802688,2781438,1176489.326,1896418.332,Carryall,1/13/2016,1/13/2016,-87.62750858,41.87112504,1/13/2016 3:10,890,S,STATE ST,STATE ST,890 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,JEEP,60,Paid,2016,TRUE,1/13/2016 3:10,TICKET AND TOW
43,16-00269748,557 W MADISON ST,557,W,MADISON ST,557 W MADISON ST,1/15/2016 0:00,1/22/2016 0:00,Completed,Lexus,E626549,2781477,1172615.411,1900296.642,Carryall,1/14/2016,1/14/2016,-87.64161626,41.88185391,1/14/2016 3:10,569,W,MADISON,MADISON ST,569 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,LEXU,120,Notice,2016,TRUE,1/14/2016 3:10,TICKET AND TOW
44,16-00345634,557 W MADISON ST,557,W,MADISON ST,557 W MADISON ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Volkswagen,P200846,2781527,1172615.411,1900296.642,Sedan 4 Door,1/15/2016,1/15/2016,-87.64161626,41.88185391,1/15/2016 3:02,571,W,MADISON,MADISON ST,571 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,VOLK,120,Paid,2016,TRUE,1/15/2016 3:02,TICKET AND TOW
45,16-00345636,553 W MADISON ST,553,W,MADISON ST,553 W MADISON ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Toyota,E528501,2781528,1172642.511,1900297.442,Sedan 4 Door,1/15/2016,1/15/2016,-87.64151673,41.88185551,1/15/2016 3:04,571,W,MADISON,MADISON ST,571 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/15/2016 3:04,TICKET AND TOW
46,16-00345644,551 W MADISON ST,551,W,MADISON ST,551 W MADISON ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Honda,REVERSE,2781531,1172656.111,1900297.742,Sedan 4 Door,1/15/2016,1/15/2016,-87.64146678,41.88185603,1/15/2016 3:09,571,W,MADISON,MADISON ST,571 W MADISON,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,1/15/2016 3:09,TICKET AND TOW
47,16-00345647,1224 S STATE ST,1224,S,STATE ST,1224 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Toyota,5AJVF7,2781532,1176528.436,1894918.486,Sedan 4 Door,1/15/2016,1/15/2016,-87.62741028,41.86700849,1/15/2016 3:01,1224,S,STATE,STATE ST,1224 S STATE,CT,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Define,2016,TRUE,1/15/2016 3:01,TICKET AND TOW
48,16-00345920,1529 S STATE ST,1529,S,STATE ST,1529 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Toyota,V389180,2781533,1176583.597,1892743.796,Sedan 4 Door,1/15/2016,1/15/2016,-87.62727344,41.86103975,1/15/2016 3:09,1529,S,STATE,STATE ST,1529 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/15/2016 3:09,TICKET AND TOW
49,16-00556486,1236 S STATE ST,1236,S,STATE ST,1236 S STATE ST,1/28/2016 0:00,1/28/2016 0:00,Completed,Toyota,Z316286,2781534,1176530.236,1894844.686,Sedan 4 Door,1/15/2016,1/15/2016,-87.6274059,41.86680593,1/15/2016 3:04,1236,S,STATE ST,STATE ST,1236 S STATE ST,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/15/2016 3:04,TICKET AND TOW
50,16-00347805,640 S STATE ST,640,S,STATE ST,640 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Toyota,K956791,2781596,1176458.003,1897440.428,Sedan 4 Door,1/16/2016,1/16/2016,-87.62759273,41.87393044,1/16/2016 3:11,638,S,STATE,STATE ST,638 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/16/2016 3:11,TICKET AND TOW
51,16-00347807,700 S STATE ST,700,S,STATE ST,700 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Kia Motors Corp,XBZ199,2781598,1176467.765,1897134.937,Sedan 4 Door,1/16/2016,1/16/2016,-87.62756611,41.87309193,1/16/2016 3:17,720,S,STATE,STATE ST,720 S STATE,IN,964060,3-7 AM SNOW ROUTE,1,KIA,60,Paid,2016,TRUE,1/16/2016 3:17,TICKET AND TOW
52,16-00347810,726 S STATE ST,726,S,STATE ST,726 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Chevrolet,E124840,2781600,1176475.637,1896893.768,Sedan 4 Door,1/16/2016,1/16/2016,-87.62754449,41.87242997,1/16/2016 3:21,760,S,STATE,STATE ST,760 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,CHEV,60,Paid,2016,TRUE,1/16/2016 3:21,TICKET AND TOW
53,16-00347811,648 S STATE ST,648,S,STATE ST,648 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Bmw,S341636,2781601,1176459.303,1897399.028,Sedan 4 Door,1/16/2016,1/16/2016,-87.62758921,41.87381681,1/16/2016 3:13,640,S,STATE,STATE ST,640 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,BMW,60,Paid,2016,TRUE,1/16/2016 3:13,TICKET AND TOW
54,16-00347758,857 S STATE ST,857,S,STATE ST,857 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Toyota,E380965,2781604,1176489.826,1896399.532,Sedan 4 Door,1/16/2016,1/16/2016,-87.62750732,41.87107344,1/16/2016 3:31,960,S,STATE,STATE ST,960 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/16/2016 3:31,TICKET AND TOW
55,16-00347765,700 S STATE ST,700,S,STATE ST,700 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Subaru,X998479,2781607,1176467.765,1897134.937,Carryall,1/16/2016,1/16/2016,-87.62756611,41.87309193,1/16/2016 3:14,702,S,STATE,STATE ST,702 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,SUBA,60,Paid,2016,TRUE,1/16/2016 3:14,TICKET AND TOW
56,16-00347766,847 S STATE ST,847,S,STATE ST,847 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Fiat,Z236376,2781608,1176488.512,1896446.393,Sedan 4 Door,1/16/2016,1/16/2016,-87.62751073,41.87120206,1/16/2016 3:26,830,S,STATE,STATE ST,830 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,FIAT,60,Paid,2016,TRUE,1/16/2016 3:26,TICKET AND TOW
57,16-00347769,720 S STATE ST,720,S,STATE ST,720 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Toyota,S654773,2781611,1176473.837,1896949.368,Carryall,1/16/2016,1/16/2016,-87.62754942,41.87258258,1/16/2016 3:19,740,S,STATE,STATE ST,740 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,120,Paid,2016,TRUE,1/16/2016 3:19,TICKET AND TOW
58,16-00347772,853 S STATE ST,853,S,STATE ST,853 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Toyota,P979262,2781613,1176489.326,1896418.332,Carryall,1/16/2016,1/16/2016,-87.62750858,41.87112504,1/16/2016 3:28,910,S,STATE,STATE ST,910 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/16/2016 3:28,TICKET AND TOW
59,16-00347762,1248 S STATE ST,1248,S,STATE ST,1248 S STATE ST,1/19/2016 0:00,1/28/2016 0:00,Completed,Volkswagen,E920370,2781614,1176531.936,1894770.986,Sedan 4 Door,1/16/2016,1/16/2016,-87.62740189,41.86660366,1/16/2016 3:37,1240,S,STATE,STATE ST,1240 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,VOLK,60,Paid,2016,TRUE,1/16/2016 3:37,TICKET AND TOW
