Service Request No,original_address_field,st_num_x,st_dir_x,st_name,Location,Created Date,Status Date,Status,Vehicle Make/Model,License Plate Number,Pound assigned inventory number,City X Coordinate,City Y Coordinate,Vehicle Body Style,impound_date,date,X Coordinate,Y Coordinate,X,Y,iss_dt_tim,st_num_y,st_dir_y,st_nm,st_name_edit,address,lcns_plt_s,viol_cd,viol_desc,rpt_dstrct,vhcl_make,fine_lvl,tckt_que,year,on_route,datetime,penalty
,,,,,,,,,,L603657,,,,,,1/1/2016 0:00,,,-87.6177949,41.8465347,1/1/2016 3:25,2532,S,KING DR,MARTIN LUTHER KING DRIVE,2532 S KING DR,IL,964060,3-7 AM SNOW ROUTE,1,BUIC,60,Paid,2016,TRUE,1/1/2016 3:25,TICKET - NO TOW
,,,,,,,,,,301UUF,,,,,,1/2/2016 0:00,,,-87.6259099,41.8530449,1/2/2016 3:12,31,E,CERMAK,CERMAK,31 E CERMAK,WI,964060,3-7 AM SNOW ROUTE,1,HYUN,120,Notice,2016,TRUE,1/2/2016 3:12,TICKET - NO TOW
,,,,,,,,,,Z161194,,,,,,1/2/2016 0:00,,,-87.62578,41.8530449,1/2/2016 3:14,39,E,CERMAK,CERMAK,39 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,PONT,120,Notice,2016,TRUE,1/2/2016 3:14,TICKET - NO TOW
,,,,,,,,,,1425937B,,,,,,1/2/2016 0:00,,,-87.62533,41.85263,1/2/2016 3:18,41,E,CERMAK,CERMAK,41 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,TOYT,60,Paid,2016,TRUE,1/2/2016 3:18,TICKET - NO TOW
,,,,,,,,,,V131244,,,,,,1/2/2016 0:00,,,-87.62504,41.85264,1/2/2016 3:19,49,E,CERMAK,CERMAK,49 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,MERZ,60,Paid,2016,TRUE,1/2/2016 3:19,TICKET - NO TOW
,,,,,,,,,,19968E,,,,,,1/3/2016 0:00,,,-87.70237,41.76185,1/3/2016 4:27,7223,S,KEDZIE,KEDZIE AVE,7223 S KEDZIE,IN,964060,3-7 AM SNOW ROUTE,8,LINC,60,Define,2016,TRUE,1/3/2016 4:27,TICKET - NO TOW
,,,,,,,,,,5338181,,,,,,1/3/2016 0:00,,,-87.70289,41.78363,1/3/2016 4:35,6027,S,KEDZIE,KEDZIE AVE,6027 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,8,CHEV,60,Paid,2016,TRUE,1/3/2016 4:35,TICKET - NO TOW
,,,,,,,,,,591S320,,,,,,1/3/2016 0:00,,,-87.7029,41.78384,1/3/2016 4:38,6019,S,KEDZIE,KEDZIE AVE,6019 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,8,HOND,120,Notice,2016,TRUE,1/3/2016 4:38,TICKET - NO TOW
,,,,,,,,,,R275721,,,,,,1/3/2016 0:00,,,-87.66953,41.99785,1/3/2016 3:04,1541,W,DEVON,DEVON AVE,1541 W DEVON,IL,964060,3-7 AM SNOW ROUTE,24,NISS,60,Paid,2016,TRUE,1/3/2016 3:04,TICKET - NO TOW
,,,,,,,,,,S754496,,,,,,1/2/2016 0:00,,,-87.69573,41.9761,1/2/2016 3:21,2642,W,FSOTER,FOSTER AVE,2642 W FSOTER,IL,964060,3-7 AM SNOW ROUTE,20,TOYT,60,Paid,2016,TRUE,1/2/2016 3:21,TICKET - NO TOW
,,,,,,,,,,DXX275,,,,,,1/1/2016 0:00,,,-87.6776414,41.9759251,1/1/2016 3:12,1931,W,FOSTER,FOSTER AVE,1931 W FOSTER,IA,964060,3-7 AM SNOW ROUTE,20,PONT,60,Paid,2016,TRUE,1/1/2016 3:12,TICKET - NO TOW
,,,,,,,,,,Y712070,,,,,,1/1/2016 0:00,,,-87.6782368,41.9759108,1/1/2016 3:20,1947,W,FOSTER,FOSTER AVE,1947 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,HOND,60,Paid,2016,TRUE,1/1/2016 3:20,TICKET - NO TOW
,,,,,,,,,,Y585090,,,,,,1/1/2016 0:00,,,-87.67862,41.9763,1/1/2016 3:20,1956,W,FOSTER,FOSTER AVE,1956 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,TOYT,60,Paid,2016,TRUE,1/1/2016 3:20,TICKET - NO TOW
,,,,,,,,,,3329424,,,,,,1/1/2016 0:00,,,-87.67809,41.97631,1/1/2016 3:21,1940,W,FOSTER,FOSTER AVE,1940 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,FORD,60,Paid,2016,TRUE,1/1/2016 3:21,TICKET - NO TOW
,,,,,,,,,,N765035,,,,,,1/1/2016 0:00,,,-87.68008,41.9761649,1/1/2016 3:28,2010,W,FOSTER,FOSTER AVE,2010 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,CHEV,60,Paid,2016,TRUE,1/1/2016 3:28,TICKET - NO TOW
,,,,,,,,,,R415826,,,,,,1/1/2016 0:00,,,-87.68031,41.97627,1/1/2016 3:28,2014,W,FOSTER,FOSTER AVE,2014 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,FORD,60,Paid,2016,TRUE,1/1/2016 3:28,TICKET - NO TOW
,,,,,,,,,,Y720691,,,,,,1/1/2016 0:00,,,-87.69146,41.97613,1/1/2016 3:41,2460,W,FOSTER,FOSTER AVE,2460 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,LINC,60,Paid,2016,TRUE,1/1/2016 3:41,TICKET - NO TOW
,,,,,,,,,,V375002,,,,,,1/1/2016 0:00,,,-87.6949599,41.9757351,1/1/2016 3:44,2623,W,FOSTER,FOSTER AVE,2623 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,ACUR,60,Paid,2016,TRUE,1/1/2016 3:44,TICKET - NO TOW
,,,,,,,,,,E996085,,,,,,1/1/2016 0:00,,,-87.6947679,41.9760049,1/1/2016 3:45,2618,W,FOSTER,FOSTER AVE,2618 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,AUDI,60,Dismissed,2016,TRUE,1/1/2016 3:45,TICKET - NO TOW
,,,,,,,,,,1145314B,,,,,,1/1/2016 0:00,,,-87.69481,41.9761,1/1/2016 3:46,2616,W,FOSTER,FOSTER AVE,2616 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,FORD,60,Paid,2016,TRUE,1/1/2016 3:46,TICKET - NO TOW
,,,,,,,,,,K242837,,,,,,1/1/2016 0:00,,,-87.6945699,41.9760049,1/1/2016 3:47,2612,W,FOSTER,FOSTER AVE,2612 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,CHEV,60,Paid,2016,TRUE,1/1/2016 3:47,TICKET - NO TOW
,,,,,,,,,,E874404,,,,,,1/1/2016 0:00,,,-87.694372,41.9760049,1/1/2016 3:55,2606,W,FOSTER,FOSTER AVE,2606 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,FORD,120,Notice,2016,TRUE,1/1/2016 3:55,TICKET - NO TOW
,,,,,,,,,,A474485,,,,,,1/3/2016 0:00,,,-87.8230643,41.973979,1/3/2016 3:10,7829,W,FOSTER,FOSTER AVE,7829 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,PONT,60,Paid,2016,TRUE,1/3/2016 3:10,TICKET - NO TOW
,,,,,,,,,,X565930,,,,,,1/3/2016 0:00,,,-87.69008,41.97573,1/3/2016 3:15,2419,W,FOSTER,FOSTER AVE,2419 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,HOND,60,Paid,2016,TRUE,1/3/2016 3:15,TICKET - NO TOW
,,,,,,,,,,Z226705,,,,,,1/1/2016 0:00,,,-87.6697499,41.99785,1/1/2016 3:14,1545,W,DEVON,DEVON AVE,1545 W DEVON,IL,964060,3-7 AM SNOW ROUTE,24,HOND,60,Paid,2016,TRUE,1/1/2016 3:14,TICKET - NO TOW
,,,,,,,,,,E332051,,,,,,1/1/2016 0:00,,,-87.6696649,41.9979551,1/1/2016 3:17,1543,W,DEVON,DEVON AVE,1543 W DEVON,IL,964060,3-7 AM SNOW ROUTE,24,DODG,60,Paid,2016,TRUE,1/1/2016 3:17,TICKET - NO TOW
,,,,,,,,,,1140090B,,,,,,1/1/2016 0:00,,,-87.6699012,41.9982249,1/1/2016 3:20,1548,W,DEVON,DEVON AVE,1548 W DEVON,IL,964060,3-7 AM SNOW ROUTE,24,CHEV,60,Paid,2016,TRUE,1/1/2016 3:20,TICKET - NO TOW
,,,,,,,,,,V868511,,,,,,1/1/2016 0:00,,,-87.67117,42.00063,1/1/2016 3:24,6519,N,CLARK,CLARK ST,6519 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,1/1/2016 3:24,TICKET - NO TOW
,,,,,,,,,,Z305790,,,,,,1/1/2016 0:00,,,-87.6717856,42.0010087,1/1/2016 3:30,6540,N,CLARK,CLARK ST,6540 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,CHEV,60,Paid,2016,TRUE,1/1/2016 3:30,TICKET - NO TOW
,,,,,,,,,,Y701702,,,,,,1/3/2016 0:00,,,-87.67578,42.01888,1/3/2016 3:33,7541,N,CLARK,CLARK ST,7541 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,CHEV,60,Define,2016,TRUE,1/3/2016 3:33,TICKET - NO TOW
,,,,,,,,,,FCJ2921,,,,,,1/1/2016 0:00,,,-87.66969,41.997842,1/1/2016 3:17,1545,W,DEEVON,DEVON AVE,1545 W DEVON AVE,OH,964060,3-7 AM SNOW ROUTE,24,LEXU,120,Notice,2016,TRUE,1/1/2016 3:17,TICKET - NO TOW
,,,,,,,,,,R640866,,,,,,1/1/2016 0:00,,,-87.66938,41.99785,1/1/2016 3:19,1539,W,DEVON,DEVON AVE,1539 W DEVON,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,1/1/2016 3:19,TICKET - NO TOW
,,,,,,,,,,2113AI,,,,,,1/1/2016 0:00,,,-87.6711533,42.0002868,1/1/2016 3:21,6509,N,CLARK,CLARK ST,6509 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,HYUN,60,Paid,2016,TRUE,1/1/2016 3:21,TICKET - NO TOW
,,,,,,,,,,7194569,,,,,,1/1/2016 0:00,,,-87.67106,42.00038,1/1/2016 3:23,6513,N,CLARK,CLARK ST,6513 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,1/1/2016 3:23,TICKET - NO TOW
,,,,,,,,,,A258682,,,,,,1/1/2016 0:00,,,-87.6712173,42.0004507,1/1/2016 3:24,6517,N,CLARK,CLARK ST,6517 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,LEXU,60,Paid,2016,TRUE,1/1/2016 3:24,TICKET - NO TOW
,,,,,,,,,,YJ3BOB,,,,,,1/1/2016 0:00,,,-87.6716974,42.0007735,1/1/2016 3:29,6530,N,CLARK,CLARK ST,6530 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,BUIC,60,Define,2016,TRUE,1/1/2016 3:29,TICKET - NO TOW
,,,,,,,,,,V769122,,,,,,1/1/2016 0:00,,,-87.67186,42.00278,1/1/2016 3:40,6637,N,CLARK,CLARK ST,6637 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,1/1/2016 3:40,TICKET - NO TOW
,,,,,,,,,,G110302,,,,,,1/1/2016 0:00,,,-87.6726,42.00286,1/1/2016 3:43,6640,N,CLARK,CLARK ST,6640 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,NISS,60,Paid,2016,TRUE,1/1/2016 3:43,TICKET - NO TOW
,,,,,,,,,,S833199,,,,,,1/1/2016 0:00,,,-87.6727373,42.0036998,1/1/2016 3:47,6710,N,CLARK,CLARK ST,6710 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,1/1/2016 3:47,TICKET - NO TOW
,,,,,,,,,,E611262,,,,,,1/1/2016 0:00,,,-87.67368,42.00591,1/1/2016 5:50,6816,N,CLARK,CLARK ST,6816 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,FORD,60,Paid,2016,TRUE,1/1/2016 5:50,TICKET - NO TOW
,,,,,,,,,,9533715,,,,,,1/1/2016 0:00,,,-87.67453,42.00982,1/1/2016 3:57,7028,N,CLARK,CLARK ST,7028 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,1/1/2016 3:57,TICKET - NO TOW
,,,,,,,,,,4657106,,,,,,1/1/2016 0:00,,,-87.65934,41.95076,1/1/2016 4:01,7843,N,CLARK,CLARK ST,7843 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,FORD,60,Paid,2016,TRUE,1/1/2016 4:01,TICKET - NO TOW
,,,,,,,,,,9797735,,,,,,1/2/2016 0:00,,,-87.67455,42.00996,1/2/2016 3:12,7030,N,CLARK,CLARK ST,7030 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,JEEP,60,Paid,2016,TRUE,1/2/2016 3:12,TICKET - NO TOW
,,,,,,,,,,E726931,,,,,,1/2/2016 0:00,,,-87.6733477,42.0071915,1/2/2016 3:14,6925,N,CLARK,CLARK ST,6925 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,HYUN,120,Paid,2016,TRUE,1/2/2016 3:14,TICKET - NO TOW
,,,,,,,,,,Y913928,,,,,,1/3/2016 0:00,,,-87.6744805,42.0105735,1/3/2016 3:15,7052,N,CLARK,CLARK ST,7052 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,60,Paid,2016,TRUE,1/3/2016 3:15,TICKET - NO TOW
,,,,,,,,,,B365182,,,,,,1/3/2016 0:00,,,-87.6744751,42.0124544,1/3/2016 3:20,7133,N,CLARK,CLARK ST,7133 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,SUBA,60,Define,2016,TRUE,1/3/2016 3:20,TICKET - NO TOW
,,,,,,,,,,V283958,,,,,,1/1/2016 0:00,,,-87.6732646,42.0068385,1/1/2016 3:50,6907,N,CLARK,CLARK ST,6907 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,NISS,60,Paid,2016,TRUE,1/1/2016 3:50,TICKET - NO TOW
,,,,,,,,,,E546970,,,,,,1/1/2016 0:00,,,-87.6739795,42.00989,1/1/2016 3:59,7029,N,CLARK,CLARK ST,7029 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,HOND,60,Paid,2016,TRUE,1/1/2016 3:59,TICKET - NO TOW
,,,,,,,,,,V879250,,,,,,1/1/2016 0:00,,,-87.6743529,42.0099272,1/1/2016 3:57,7036,N,CLARK,CLARK ST,7036 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,KIA,60,Define,2016,TRUE,1/1/2016 3:57,TICKET - NO TOW
,,,,,,,,,,K639162,,,,,,1/1/2016 0:00,,,-87.6758757,42.0188029,1/1/2016 3:59,7545,N,CLARK,CLARK ST,7545 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,NISS,60,Paid,2016,TRUE,1/1/2016 3:59,TICKET - NO TOW
,,,,,,,,,,3397TX,,,,,,1/3/2016 0:00,,,-87.6739562,42.0097856,1/3/2016 3:09,7025,N,CLARK,CLARK ST,7025 N CLARK,IL,964060,3-7 AM SNOW ROUTE,24,TOYT,120,Paid,2016,TRUE,1/3/2016 3:09,TICKET - NO TOW
,,,,,,,,,,E283178,,,,,,1/1/2016 0:00,,,-87.70237,41.76153,1/1/2016 3:18,7235,S,KEDZIE,KEDZIE AVE,7235 S KEDZIE,IL,964060,3-7 AM SNOW ROUTE,8,KIA,60,Paid,2016,TRUE,1/1/2016 3:18,TICKET - NO TOW
,,,,,,,,,,FWZ3145,,,,,,1/2/2016 0:00,,,-87.62438,41.85265,1/2/2016 3:21,67,E,CERMAK,CERMAK,67 E CERMAK,OH,964060,3-7 AM SNOW ROUTE,1,JEEP,60,Paid,2016,TRUE,1/2/2016 3:21,TICKET - NO TOW
,,,,,,,,,,L99BH,,,,,,1/2/2016 0:00,,,-87.6241034,41.8526651,1/2/2016 3:32,79,E,CERMAK,CERMAK,79 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,DODG,60,Define,2016,TRUE,1/2/2016 3:32,TICKET - NO TOW
,,,,,,,,,,S816506,,,,,,1/2/2016 0:00,,,-87.6246316,41.8530649,1/2/2016 3:34,70,E,CERMAK,CERMAK,70 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,INFI,60,Paid,2016,TRUE,1/2/2016 3:34,TICKET - NO TOW
,,,,,,,,,,V956883,,,,,,1/2/2016 0:00,,,-87.6251957,41.8530477,1/2/2016 3:40,50,E,CERMAK,CERMAK,50 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,HOND,60,Paid,2016,TRUE,1/2/2016 3:40,TICKET - NO TOW
,,,,,,,,,,CDT8307,,,,,,1/3/2016 0:00,,,-87.62482,41.85265,1/3/2016 3:18,57,E,CERMAK,CERMAK,57 E CERMAK,GA,964060,3-7 AM SNOW ROUTE,1,CHRY,120,Notice,2016,TRUE,1/3/2016 3:18,TICKET - NO TOW
,,,,,,,,,,Y850291,,,,,,1/3/2016 0:00,,,-87.6240833,41.8526651,1/3/2016 3:20,75,E,CERMAK,CERMAK,75 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,VOLK,60,Paid,2016,TRUE,1/3/2016 3:20,TICKET - NO TOW
,,,,,,,,,,3277119,,,,,,1/3/2016 0:00,,,-87.6241034,41.8526651,1/3/2016 3:23,79,E,CERMAK,CERMAK,79 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,CHEV,60,Paid,2016,TRUE,1/3/2016 3:23,TICKET - NO TOW
,,,,,,,,,,286041,,,,,,1/3/2016 0:00,,,-87.62439,41.85308,1/3/2016 3:28,80,E,CERMAK,CERMAK,80 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,BUIC,60,Paid,2016,TRUE,1/3/2016 3:28,TICKET - NO TOW
,,,,,,,,,,Z413165,,,,,,1/3/2016 0:00,,,-87.6246316,41.8530649,1/3/2016 3:32,70,E,CERMAKC,CERMAK,70 E CERMAKC,IL,964060,3-7 AM SNOW ROUTE,1,VOLK,120,Notice,2016,TRUE,1/3/2016 3:32,TICKET - NO TOW
,,,,,,,,,,V831041,,,,,,1/3/2016 0:00,,,-87.6246376,41.853063,1/3/2016 3:36,66,E,CERMAK,CERMAK,66 E CERMAK,IL,964060,3-7 AM SNOW ROUTE,1,ACUR,60,Paid,2016,TRUE,1/3/2016 3:36,TICKET - NO TOW
,,,,,,,,,,E790424,,,,,,1/3/2016 0:00,,,-87.6272849,41.8556229,1/3/2016 3:21,1910,S,STATES,STATE ST,1910 S STATES,IL,964060,3-7 AM SNOW ROUTE,1,MERC,60,Paid,2016,TRUE,1/3/2016 3:21,TICKET - NO TOW
,,,,,,,,,,V598242,,,,,,1/3/2016 0:00,,,-87.6272849,41.8556193,1/3/2016 3:25,1916,S,STATE,STATE ST,1916 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,NISS,120,Paid,2016,TRUE,1/3/2016 3:25,TICKET - NO TOW
,,,,,,,,,,436S871,,,,,,1/3/2016 0:00,,,-87.62676,41.85602,1/3/2016 3:29,1931,S,STATE,STATE ST,1931 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,NISS,60,Paid,2016,TRUE,1/3/2016 3:29,TICKET - NO TOW
,,,,,,,,,,H175248,,,,,,1/3/2016 0:00,,,-87.6272449,41.8540213,1/3/2016 3:48,2108,S,STATE,STATE ST,2108 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,ACUR,60,Paid,2016,TRUE,1/3/2016 3:48,TICKET - NO TOW
,,,,,,,,,,P423723,,,,,,1/3/2016 0:00,,,-87.6269751,41.8533786,1/3/2016 5:53,2121,S,STATE,STATE ST,2121 S STATE,IL,964060,3-7 AM SNOW ROUTE,1,CHEV,120,Notice,2016,TRUE,1/3/2016 5:53,TICKET - NO TOW
,,,,,,,,,,SE1944,,,,,,1/4/2016 0:00,,,-87.7688,41.91959,1/4/2016 3:12,5712,W,GRANDA VE,GRAND AVE,5712 W GRANDA VE,IN,964060,3-7 AM SNOW ROUTE,25,TOYT,60,Paid,2016,FALSE,1/4/2016 3:12,TICKET - NO TOW
,,,,,,,,,,E721170,,,,,,1/4/2016 0:00,,,-87.76892,41.91961,1/4/2016 3:14,5714,W,GRAND AVE,GRAND AVE,5714 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,FORD,60,Paid,2016,FALSE,1/4/2016 3:14,TICKET - NO TOW
,,,,,,,,,,V010131,,,,,,1/4/2016 0:00,,,-87.7691,41.91964,1/4/2016 3:15,5718,W,GRANDA VE,GRAND AVE,5718 W GRANDA VE,IL,964060,3-7 AM SNOW ROUTE,25,KIA,60,Define,2016,FALSE,1/4/2016 3:15,TICKET - NO TOW
,,,,,,,,,,6000997,,,,,,1/4/2016 0:00,,,-87.76919,41.91966,1/4/2016 3:18,5720,W,GRAND AVE,GRAND AVE,5720 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,DODG,60,Paid,2016,FALSE,1/4/2016 3:18,TICKET - NO TOW
,,,,,,,,,,Z122172,,,,,,1/4/2016 0:00,,,-87.7691626,41.9194987,1/4/2016 3:19,5724,W,GRAND AVE,GRAND AVE,5724 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,SATR,60,Paid,2016,FALSE,1/4/2016 3:19,TICKET - NO TOW
,,,,,,,,,,PENADD,,,,,,1/4/2016 0:00,,,-87.76975,41.9197599,1/4/2016 3:22,5740,W,GRAND AVE,GRAND AVE,5740 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,CHEV,60,Define,2016,FALSE,1/4/2016 3:22,TICKET - NO TOW
,,,,,,,,,,E364356,,,,,,1/4/2016 0:00,,,-87.76975,41.9197599,1/4/2016 3:24,5740,W,GARND AVE,GRAND AVE,5740 W GARND AVE,IL,964060,3-7 AM SNOW ROUTE,25,HOND,60,Paid,2016,FALSE,1/4/2016 3:24,TICKET - NO TOW
,,,,,,,,,,Z588346,,,,,,1/4/2016 0:00,,,-87.77484,41.9206999,1/4/2016 3:28,5944,W,GRAND AVE,GRAND AVE,5944 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,BUIC,120,Notice,2016,FALSE,1/4/2016 3:28,TICKET - NO TOW
,,,,,,,,,,E470990,,,,,,1/4/2016 0:00,,,-87.76986,41.91978,1/4/2016 3:26,5742,W,GRAND AVE,GRAND AVE,5742 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,FORD,120,Dismissed,2016,FALSE,1/4/2016 3:26,TICKET - NO TOW
,,,,,,,,,,Z310841,,,,,,1/4/2016 0:00,,,-87.7692102,41.9195073,1/4/2016 3:31,5730,W,GARND AVE,GRAND AVE,5730 W GARND AVE,IL,964060,3-7 AM SNOW ROUTE,25,FORD,60,Paid,2016,FALSE,1/4/2016 3:31,TICKET - NO TOW
,,,,,,,,,,S388828,,,,,,1/4/2016 0:00,,,-87.76986,41.91978,1/4/2016 3:35,5742,W,GRAND AVE,GRAND AVE,5742 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,TOYT,120,Notice,2016,FALSE,1/4/2016 3:35,TICKET - NO TOW
,,,,,,,,,,Z253331,,,,,,1/4/2016 0:00,,,-87.77251,41.92027,1/4/2016 3:38,5846,W,GRANDA VE,GRAND AVE,5846 W GRANDA VE,IL,964060,3-7 AM SNOW ROUTE,25,NISS,60,Paid,2016,FALSE,1/4/2016 3:38,TICKET - NO TOW
,,,,,,,,,,V378070,,,,,,1/4/2016 0:00,,,-87.77128,41.92004,1/4/2016 3:40,5812,W,GRAND AVE,GRAND AVE,5812 W GRAND AVE,IL,964060,3-7 AM SNOW ROUTE,25,MERC,60,Paid,2016,FALSE,1/4/2016 3:40,TICKET - NO TOW
,,,,,,,,,,A705230,,,,,,1/1/2016 0:00,,,-87.69078,41.97574,1/1/2016 3:40,2451,W,FOSTER,FOSTER AVE,2451 W FOSTER,IL,964060,3-7 AM SNOW ROUTE,20,MITS,60,Paid,2016,TRUE,1/1/2016 3:40,TICKET - NO TOW
